,X,Y,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
X,1.0,0.4927054988875,-0.059572857372550095,-0.07985962092509634,-0.07254330720425056,-0.010799254639036136,-0.05108252507076587,0.06584088945665922,0.026845889531970264,0.10953638574975731,0.06049949581719137
Y,0.4927054988875,1.0,-0.00963476642128007,0.004524625675527559,-0.1054042888159554,-0.013201822571262069,-0.04054098715153044,0.0500283928873229,-0.00862888485123939,0.07910678796916763,0.046017837367039245
FFMC,-0.059572857372550095,-0.00963476642128007,1.0,0.5114370779378786,0.26304899115211167,0.7835658541392051,0.5947649321831863,-0.3195490991697053,-0.035398666945528276,0.09739842460524292,0.025300463142115554
DMC,-0.07985962092509634,0.004524625675527559,0.5114370779378786,1.0,0.55879058334237,0.4251591462578106,0.502963114287878,0.03460437883097416,-0.11043635620185725,0.12055457924506044,0.07191967077961155
DC,-0.07254330720425056,-0.1054042888159554,0.26304899115211167,0.55879058334237,1.0,0.10383196737514849,0.30874559979657173,0.025868606830578043,-0.20582492228931848,0.008048062495854925,0.06163303230886902
ISI,-0.010799254639036136,-0.013201822571262069,0.7835658541392051,0.4251591462578106,0.10383196737514849,1.0,0.41640356926619065,-0.17749769426393797,0.13558594579598107,0.11745371410501791,0.012495928344045084
temp,-0.05108252507076587,-0.04054098715153044,0.5947649321831863,0.502963114287878,0.30874559979657173,0.41640356926619065,1.0,-0.5176362194768944,-0.17990838424426653,0.026024124891642905,0.07869596317636426
RH,0.06584088945665922,0.0500283928873229,-0.3195490991697053,0.03460437883097416,0.025868606830578043,-0.17749769426393797,-0.5176362194768944,1.0,0.03715741674429837,0.18105930436649603,-0.024221205598674165
wind,0.026845889531970264,-0.00862888485123939,-0.035398666945528276,-0.11043635620185725,-0.20582492228931848,0.13558594579598107,-0.17990838424426653,0.03715741674429837,1.0,0.12050918008798571,0.053195836890654005
rain,0.10953638574975731,0.07910678796916763,0.09739842460524292,0.12055457924506044,0.008048062495854925,0.11745371410501791,0.026024124891642905,0.18105930436649603,0.12050918008798571,1.0,-0.06407348244210335
area,0.06049949581719137,0.046017837367039245,0.025300463142115554,0.07191967077961155,0.06163303230886902,0.012495928344045084,0.07869596317636426,-0.024221205598674165,0.053195836890654005,-0.06407348244210335,1.0

